DATA_DT,ARG_NO,CUST_NO,ARG_CRT_DAT,MATU_DAT,ARG_LIF_CYC_STA_CD,PTPN_AMT,NET_VAL_TOT_AMT
43020,73707719966666529,7954762290762452,42737,43832,65,43.088693800600005,43.088693800600005
42880,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
42869,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
42900,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
42911,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
42931,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
42939,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
42959,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
42970,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
43000,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
43031,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
42990,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
43020,72134410666666662,7915366666189039,42280,43376,65,20.0,20.0
43031,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43020,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43061,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43081,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43143,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43123,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43092,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43112,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43051,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43173,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43153,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43184,11195719666666244,7911060772766269,41519,42615,64,82.4257059962,0.0
43020,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43081,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43061,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43031,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43092,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43051,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43153,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43112,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43123,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43173,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43143,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43184,11195419566666055,7911060772766269,41702,42798,64,73.68062997279999,0.0
43020,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43031,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43051,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43081,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43061,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43092,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43112,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43123,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43143,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43153,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43173,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43184,11195419666666073,7911060772766269,41641,42737,64,106.265856918,0.0
43020,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43031,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43061,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43081,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43051,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43092,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43123,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43112,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43143,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43153,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43173,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43184,73757419266666772,7954302240851038,42442,43484,64,28.9247673444,0.0
43173,11549719666666670,7911060828619602,43149,43437,65,0.0,73.8439516593
43153,11549719666666670,7911060828619602,43149,43437,65,0.0,73.7745855406
43184,11549719666666670,7911060828619602,43149,43437,65,0.0,73.8332842913
43143,11549719066666677,7911060828619602,43143,43437,65,73.8007789716,0.0
43173,11549719066666677,7911060828619602,43143,43148,64,73.8007789716,0.0
43153,11549719066666677,7911060828619602,43143,43148,64,73.8007789716,0.0
43184,11549719066666677,7911060828619602,43143,43148,64,73.8007789716,0.0
43081,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43092,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43031,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43020,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43112,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43051,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43061,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43153,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43173,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43123,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43143,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43184,11122619966666682,7911067230191788,41549,43375,65,52.4148278842,52.4148278842
43000,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43020,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43031,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
42990,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43051,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43081,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43123,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43092,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43112,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43153,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43143,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
43061,58761619866666741,7920767654129429,42249,43345,65,9.283177667230001,9.283177667230001
42990,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
42959,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
43000,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
43020,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
42970,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
43031,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
43081,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
43061,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
43051,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
43092,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
43123,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
43112,76936719266666906,7950369226580619,42798,43893,65,20.0,20.0
42869,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
42880,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
42900,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
42911,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
42931,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
42939,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
42959,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
42970,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
42990,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
43000,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
43020,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
43031,77687019066666066,7977366565769659,41642,43467,65,73.68062997279999,73.68062997279999
42869,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
42931,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
42880,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
42900,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
42939,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
42911,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
42959,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
42970,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
43000,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
42990,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
43020,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
43031,76359510966666611,7950363148945612,42046,43872,65,9.283177667230001,9.283177667230001
