DATA_DAT,PROV_CD,ORG_NO,CUST_NO,ARG_CRT_DAT,CLS_ACCT_DAT,MATU_DAT,REG_CAP,EXEC_RATE,CRBAL,MOTH_CR_ACCM,MTH_ACT_DAYS_TOT
43123,11,117870,7911363743230772,43021,43022,-287716,175527.9,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43007,43008,-287716,673000.04,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,42998,42999,-287716,673855.24,1.6386425412,0.0,0.0,31
43031,11,117870,7911363743230772,42998,42999,-287716,673855.24,1.6386425412,0.0,0.0,31
43031,11,117870,7911363743230772,43007,43008,-287716,673000.04,1.6386425412,0.0,673000.04,31
43123,11,117870,7911363743230772,43008,43009,-287716,681015.0,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43022,43023,-287716,170531.8,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43029,43030,-287716,170558.33,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43002,43003,-287716,673915.14,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43015,43016,-287716,173586.8,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,42996,42997,-287716,1173803.07,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43004,43005,-287716,673945.1,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,42995,42996,-287716,1153777.43,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43013,43014,-287716,173579.08,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43003,43004,-287716,673930.12,1.6386425412,0.0,0.0,31
43153,11,117870,7911363743230772,42998,42999,-287716,673855.24,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43007,43008,-287716,673000.04,1.6386425412,0.0,0.0,30
43123,11,117870,7911363743230772,43024,43025,-287716,170539.38,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43028,43029,-287716,170554.54,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43025,43026,-287716,170543.17,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43001,43002,-287716,673900.16,1.6386425412,0.0,0.0,31
43031,11,117870,7911363743230772,43014,43015,-287716,173582.94,1.6386425412,0.0,173582.94,31
43031,11,117870,7911363743230772,43006,43007,-287716,673973.06,1.6386425412,0.0,673973.06,31
43031,11,117870,7911363743230772,43016,43017,-287716,174549.56,1.6386425412,0.0,174549.56,31
43031,11,117870,7911363743230772,43004,43005,-287716,673945.1,1.6386425412,0.0,673945.1,31
43123,11,117870,7911363743230772,43011,43012,-287716,673560.25,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43003,43004,-287716,673930.12,1.6386425412,0.0,0.0,31
43153,11,117870,7911363743230772,43014,43015,-287716,173582.94,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43004,43005,-287716,673945.1,1.6386425412,0.0,0.0,30
43092,11,117870,7911363743230772,43017,43018,-287716,174553.44,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,42996,42997,-287716,1173803.07,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43027,43028,-287716,170550.75,1.6386425412,0.0,0.0,31
43031,11,117870,7911363743230772,43020,43021,-287716,175524.0,1.6386425412,0.0,175524.0,31
43061,11,117870,7911363743230772,43000,43001,-287716,673885.18,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43008,43009,-287716,681015.0,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43022,43023,-287716,170531.8,1.6386425412,0.0,0.0,30
43092,11,117870,7911363743230772,43021,43022,-287716,175527.9,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43029,43030,-287716,170558.33,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43013,43014,-287716,173579.08,1.6386425412,0.0,0.0,31
43061,11,117870,7911363743230772,43012,43013,-287716,173575.22,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43001,43002,-287716,673900.16,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43024,43025,-287716,170539.38,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43025,43026,-287716,170543.17,1.6386425412,0.0,0.0,30
43092,11,117870,7911363743230772,43010,43011,-287716,674545.26,1.6386425412,0.0,0.0,31
43092,11,117870,7911363743230772,43030,43031,-287716,170562.12,1.6386425412,0.0,0.0,31
43153,11,117870,7911363743230772,43006,43007,-287716,673973.06,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43016,43017,-287716,174549.56,1.6386425412,0.0,0.0,30
43092,11,117870,7911363743230772,43011,43012,-287716,673560.25,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43023,43024,-287716,170535.59,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43026,43027,-287716,170546.96,1.6386425412,0.0,0.0,31
43123,11,117870,7911363743230772,43030,43031,-287716,170562.12,1.6386425412,0.0,0.0,31
43061,11,117870,7911363743230772,43030,43031,-287716,170562.12,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43019,43020,-287716,175520.1,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,42999,43000,-287716,673870.21,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,42995,42996,-287716,1153777.43,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43015,43016,-287716,173586.8,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43002,43003,-287716,673915.14,1.6386425412,0.0,0.0,30
43123,11,117870,7911363743230772,43010,43011,-287716,674545.26,1.6386425412,0.0,0.0,31
43031,11,117870,7911363743230772,43017,43018,-287716,174553.44,1.6386425412,0.0,174553.44,31
43153,11,117870,7911363743230772,43017,43018,-287716,174553.44,1.6386425412,0.0,0.0,30
43123,11,117870,7911363743230772,43028,43029,-287716,170554.54,1.6386425412,0.0,0.0,31
43061,11,117870,7911363743230772,42998,42999,-287716,673855.24,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,42996,42997,-287716,1173803.07,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43007,43008,-287716,673000.04,1.6386425412,0.0,0.0,30
43000,11,117870,7911363743230772,43000,147,-287716,673885.18,1.6386425412,673885.18,673885.18,30
43061,11,117870,7911363743230772,43014,43015,-287716,173582.94,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43004,43005,-287716,673945.1,1.6386425412,0.0,0.0,30
43031,11,117870,7911363743230772,43027,43028,-287716,170550.75,1.6386425412,0.0,170550.75,31
43031,11,117870,7911363743230772,42997,42998,-287716,1173829.15,1.6386425412,0.0,0.0,31
43031,11,117870,7911363743230772,43005,43006,-287716,673958.08,1.6386425412,0.0,673958.08,31
43153,11,117870,7911363743230772,43005,43006,-287716,673958.08,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43020,43021,-287716,175524.0,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43027,43028,-287716,170550.75,1.6386425412,0.0,0.0,30
43000,11,117870,7911363743230772,42995,42996,-287716,1153777.43,1.6386425412,0.0,1153777.43,30
43031,11,117870,7911363743230772,43000,43001,-287716,673885.18,1.6386425412,0.0,0.0,31
43061,11,117870,7911363743230772,43006,43007,-287716,673973.06,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43016,43017,-287716,174549.56,1.6386425412,0.0,0.0,30
43031,11,117870,7911363743230772,43029,43030,-287716,170558.33,1.6386425412,0.0,170558.33,31
43153,11,117870,7911363743230772,42997,42998,-287716,1173829.15,1.6386425412,0.0,0.0,30
43000,11,117870,7911363743230772,42999,43000,-287716,673870.21,1.6386425412,0.0,673870.21,30
43031,11,117870,7911363743230772,43022,43023,-287716,170531.8,1.6386425412,0.0,170531.8,31
43031,11,117870,7911363743230772,43012,43013,-287716,173575.22,1.6386425412,0.0,173575.22,31
43031,11,117870,7911363743230772,43010,43011,-287716,674545.26,1.6386425412,0.0,674545.26,31
43031,11,117870,7911363743230772,43009,43010,-287716,681030.13,1.6386425412,0.0,681030.13,31
43031,11,117870,7911363743230772,43008,43009,-287716,681015.0,1.6386425412,0.0,681015.0,31
43031,11,117870,7911363743230772,43026,43027,-287716,170546.96,1.6386425412,0.0,170546.96,31
43061,11,117870,7911363743230772,43018,43019,-287716,174557.32,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43017,43018,-287716,174553.44,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43020,43021,-287716,175524.0,1.6386425412,0.0,0.0,30
43000,11,117870,7911363743230772,42998,42999,-287716,673855.24,1.6386425412,0.0,673855.24,30
43153,11,117870,7911363743230772,43000,43001,-287716,673885.18,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43021,43022,-287716,175527.9,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43008,43009,-287716,681015.0,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43022,43023,-287716,170531.8,1.6386425412,0.0,0.0,30
43031,11,117870,7911363743230772,42995,42996,-287716,1153777.43,1.6386425412,0.0,0.0,31
43061,11,117870,7911363743230772,43027,43028,-287716,170550.75,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,43005,43006,-287716,673958.08,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43012,43013,-287716,173575.22,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43009,43010,-287716,681030.13,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,42999,43000,-287716,673870.21,1.6386425412,0.0,0.0,30
43061,11,117870,7911363743230772,42997,42998,-287716,1173829.15,1.6386425412,0.0,0.0,30
43031,11,117870,7911363743230772,43021,43022,-287716,175527.9,1.6386425412,0.0,175527.9,31
43031,11,117870,7911363743230772,43013,43014,-287716,173579.08,1.6386425412,0.0,173579.08,31
43031,11,117870,7911363743230772,42999,43000,-287716,673870.21,1.6386425412,0.0,0.0,31
43031,11,117870,7911363743230772,43030,43031,-287716,170562.12,1.6386425412,0.0,170562.12,31
43153,11,117870,7911363743230772,43013,43014,-287716,173579.08,1.6386425412,0.0,0.0,30
43031,11,117870,7911363743230772,43023,43024,-287716,170535.59,1.6386425412,0.0,170535.59,31
43153,11,117870,7911363743230772,43029,43030,-287716,170558.33,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,42995,42996,-287716,1153777.43,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43023,43024,-287716,170535.59,1.6386425412,0.0,0.0,30
43031,11,117870,7911363743230772,43003,43004,-287716,673930.12,1.6386425412,0.0,673930.12,31
43031,11,117870,7911363743230772,43011,43012,-287716,673560.25,1.6386425412,0.0,673560.25,31
43153,11,117870,7911363743230772,43024,43025,-287716,170539.38,1.6386425412,0.0,0.0,30
43153,11,117870,7911363743230772,43026,43027,-287716,170546.96,1.6386425412,0.0,0.0,30
43031,11,117870,7911363743230772,42996,42997,-287716,1173803.07,1.6386425412,0.0,0.0,31
43000,11,117870,7911363743230772,42997,42998,-287716,1173829.15,1.6386425412,0.0,1173829.15,30
